tenure,last_active_days,usage_frequency,session_duration,complaints,monthly_charges,payment_missed,products_used,plan_type,churn
39,51,12,15,2,1295,0,1,basic,1
2,23,11,30,5,585,0,1,basic,0
44,88,0,27,2,710,0,1,basic,0
55,63,8,3,4,846,0,1,premium,0
50,8,9,2,3,291,0,1,standard,0
6,53,9,4,5,902,1,2,basic,0
31,47,14,8,5,1475,0,1,basic,1
45,40,12,15,4,264,0,2,basic,0
11,80,7,35,2,488,0,3,standard,0
24,36,2,44,7,925,1,2,basic,1
1,4,9,14,6,994,0,2,basic,0
30,22,6,15,2,740,0,1,basic,0
2,41,12,6,3,1251,0,2,premium,1
33,0,8,27,5,832,1,3,basic,0
9,61,4,33,2,1457,0,3,basic,0
49,57,3,12,5,1336,0,3,basic,0
28,53,6,37,7,1448,0,2,standard,0
55,74,7,17,6,493,0,2,standard,0
48,15,0,9,3,386,0,1,standard,0
52,32,7,39,1,1071,0,1,basic,0
30,41,2,7,3,343,1,2,standard,0
37,31,10,9,0,1322,0,3,premium,0
33,23,3,11,0,303,0,1,basic,0
16,60,8,36,0,1000,0,1,basic,0
3,16,0,12,2,669,0,1,premium,0
34,20,13,33,3,1078,0,1,standard,0
35,63,0,17,3,1443,0,1,premium,1
33,62,12,21,7,1384,0,1,standard,0
58,66,7,24,1,1053,0,1,basic,0
54,47,6,29,1,958,0,1,standard,0
7,56,3,20,0,711,0,1,premium,0
22,50,8,22,1,769,0,1,premium,0
37,7,4,44,3,204,0,3,basic,0
16,12,1,42,5,856,0,2,standard,1
26,61,6,9,3,1212,0,3,standard,0
45,0,12,39,7,780,0,2,basic,0
37,85,8,29,5,1443,0,1,premium,1
48,84,6,36,0,1477,0,2,standard,0
34,51,14,10,1,641,0,2,standard,0
28,31,10,20,7,889,0,1,premium,0
12,66,0,33,7,1266,0,1,basic,1
26,73,9,34,2,816,0,2,basic,0
56,35,8,21,4,960,0,2,standard,0
49,23,6,32,4,478,1,1,premium,0
48,88,5,13,2,1242,0,1,premium,0
52,82,9,16,4,1292,0,1,standard,0
23,15,8,39,4,1265,1,3,basic,0
47,75,8,10,1,691,1,3,standard,0
9,49,10,2,4,228,0,3,basic,0
25,44,3,36,5,1475,0,3,standard,0
26,18,6,3,4,852,0,2,standard,0
3,76,11,25,7,1128,0,3,basic,0
47,20,5,21,2,963,0,2,premium,0
31,0,4,3,7,670,0,1,premium,0
12,23,11,8,1,875,0,2,standard,0
28,28,12,35,4,589,1,2,standard,0
56,29,1,5,6,1215,0,3,premium,1
22,58,10,13,0,304,0,1,basic,0
17,68,14,5,5,970,0,3,premium,0
46,0,2,13,3,648,0,2,basic,0
26,33,5,3,2,467,1,3,basic,0
23,78,4,21,5,777,1,3,standard,0
50,81,13,15,2,634,1,1,standard,0
51,80,4,29,3,337,1,2,basic,0
34,5,4,2,4,325,0,1,basic,0
3,66,10,29,7,260,0,1,basic,1
22,20,5,1,4,432,0,3,basic,0
47,85,14,30,2,1030,0,1,premium,0
35,51,14,22,5,673,1,2,standard,0
43,17,9,38,2,1238,0,2,basic,0
17,85,9,44,0,344,0,2,basic,0
22,33,14,8,7,947,0,1,basic,0
34,58,7,6,4,861,0,2,standard,1
54,50,13,2,6,914,0,1,premium,1
54,67,2,20,0,731,0,1,standard,0
36,76,10,3,0,1101,0,1,basic,0
13,39,1,20,0,528,1,2,standard,0
44,49,13,11,0,787,0,3,standard,0
29,71,10,41,4,469,1,3,basic,0
25,41,8,18,7,815,0,2,basic,0
15,24,0,33,6,702,0,1,basic,1
